idx	18BR003	11BR024	11BR042	01BR033	03BR002	11BR023	11BR036	01BR018	14BR008	11BR004	15BR003	06BR005	11BR016	20BR005	11BR080	18BR002	11BR018	03BR010	22BR006	18BR007	11BR025	05BR026	11BR055	05BR029	11BR043	05BR009	11BR030	11BR038	20BR008	03BR004	11BR020	11BR056	11BR019	11BR010	01BR027	11BR060	11BR072	18BR017	20BR001	14BR005	05BR001	03BR005	03BR013	21BR010	11BR053	11BR017	20BR002	05BR003	11BR031	09BR007	11BR059	11BR015	01BR030	06BR014	18BR009	11BR028	11BR050	11BR049	11BR075	11BR054	22BR005	13BR009	05BR016	11BR014	18BR016	06BR003	11BR051	06BR006	14BR014	20BR007	09BR005	20BR006	18BR010	16BR012	11BR013	11BR012	09BR004	11BR032	18BR019	11BR027	11BR003	11BR074	01BR001	05BR038	01BR017	01BR015	11BR022	01BR025	11BR009	11BR006	11BR011	05BR005	11BR058	11BR040	11BR073	01BR032	01BR031	18BR004	11BR047	18BR006	11BR044
hsa-let-7a-2-3p	0.6824	0	0.5561	1.4485	0	0	0	0.762	0.3597	0	0.4829	0	0	0.5377	0	0.6243	0.9597	0	0.2206	0.7733	0	1.5828	1.3302	0.2477	0.5795	1.9532	0.2844	1.0347	1.5017	0	1.2811	0	0	0.5307	0	0.8095	1.2659	0.998	0.5247	0.8612	0.6097	1.7421	0	0.3564	0.3097	0	0.8824	0.6747	0.5974	1.0279	0	0.7346	0	1.1207	0.4808	0.4815	1.2673	0	0.2466	0	0.3522	0	0.2783	0.6431	0.4846	1.2286	0.8719	1.1939	0.4483	0.8997	0.3132	0	0.482	0.6258	0.4654	0	0.9218	0.573	0.7398	0	0	0.4976	2.8439	0.6652	0	1.1677	0	0	0	1.4955	0	1.3462	0.3864	0.8503	0.9487	0.211	1.3086	0.5296	1.1999	0.6282	0
hsa-let-7a-3p	3.1961	2.5894	3.2779	4.7204	3.2563	2.7918	5.9273	3.8299	1.0928	4.7428	3.3705	3.1899	2.6285	2.4637	5.7397	3.8616	4.0106	3.3441	3.4037	3.3023	1.9527	3.2297	2.6203	5.2296	5.1031	4.1007	2.5345	3.648	3.0926	4.6978	3.4134	3.2996	3.7897	2.9805	4.9459	2.5588	3.3655	2.4562	4.5823	4.1153	3.152	5.0294	4.7954	3.4338	3.1148	2.7635	2.9538	3.8791	2.0279	3.6949	3.1951	3.3166	3.7254	2.0662	2.7086	3.5481	2.5086	5.7097	2.6794	2.9221	3.688	2.9055	3.4313	3.32	3.4568	3.7471	2.8696	4.5167	4.9486	3.136	4.4334	3.6036	3.5001	3.2763	3.6784	2.8569	3.1199	3.4589	3.707	2.8228	3.0136	3.1075	3.9188	5.1989	2.4067	4.2378	2.3711	3.3024	2.9528	3.2695	2.6251	4.422	2.8973	3.4107	3.2982	3.5103	3.1896	3.2703	3.8045	4.3676	3.8751
hsa-let-7a-5p	17.2526	16.983	16.4984	16.4616	16.5124	16.5842	15.5563	16.9246	16.8491	15.2096	16.9667	16.5354	16.4945	16.099	15.9975	16.4785	17.2492	17.3774	16.7307	16.6506	17.3286	17.5427	16.6437	17.2053	16.7875	16.6529	16.0805	16.6288	16.4829	16.634	16.983	16.7397	18.8978	16.7656	16.796	16.1268	16.6822	16.3878	15.7811	17.8457	16.138	17.0477	17.1444	16.6739	16.4356	16.3151	16.1019	16.687	16.9543	16.4889	16.6093	17.7146	16.9897	16.5599	16.4578	16.7794	15.9836	15.1356	16.4086	17.1692	17.0369	15.5953	17.5	17.2183	16.8233	17.3015	16.1506	16.8729	16.7352	16.3049	15.9429	16.7912	17.3356	16.6291	17.5292	16.8368	15.4021	16.843	17.2024	17.6659	16.7959	17.0024	16.194	17.0135	16.062	16.6319	16.9065	16.2218	17.7732	16.7755	17.3193	16.9595	16.4597	17.2774	16.5483	16.7306	16.2108	17.5856	16.8019	16.9217	15.5961
hsa-let-7b-3p	5.4172	5.3076	6.0574	6.773	5.9701	5.02	3.8547	6.4009	5.676	4.2821	6.7435	5.46	5.0505	4.3991	5.7564	5.5636	7.3323	5.2766	5.938	5.6109	5.0099	7.8334	4.9249	4.7765	5.0502	6.2418	5.0362	5.637	6.1165	5.6069	6.428	4.5751	2.7792	5.5208	6.1413	4.627	5.9689	5.0405	5.7992	7.4806	4.7981	6.2488	6.5727	5.8196	4.8707	5.4047	5.0374	7.0721	5.8438	5.2923	4.6284	3.5796	7.5796	5.5994	4.0377	4.8742	6.448	5.2704	4.9285	5.509	4.6785	5.5144	5.1911	5.2926	5.6467	5.5342	4.6093	5.6787	6.6029	5.2993	5.2697	4.6851	5.2589	4.4353	5.2881	5.9358	5.2694	5.8224	6.1533	5.64	5.5734	6.0141	5.1647	7.7429	5.312	6.0313	4.9171	5.1438	5.9912	4.8904	5.1305	7.756	4.7442	7.1407	4.3762	6.1925	5.1282	3.7931	5.2712	4.9547	4.7809
hsa-let-7b-5p	15.8387	15.0562	14.3807	15.4426	15.4587	14.655	12.2696	15.0029	14.8383	11.6596	16.2899	14.7574	14.2234	13.7144	13.5604	15.5409	16.7745	16.7426	15.1786	15.5472	15.8917	16.4098	15.2105	14.2485	14.818	15.9362	13.6287	15.237	15.0021	15.8617	15.2137	14.7438	14.7658	15.309	14.5779	14.0436	15.3319	14.2538	13.5774	16.9489	14.361	16.7856	16.5821	14.8534	14.9915	14.3793	14.53	16.2755	15.5017	14.784	15.183	15.807	15.74	14.1297	15.3901	15.3258	13.7178	12.2528	13.6555	16.3234	14.328	13.3561	15.3371	15.8235	14.8075	15.6315	14.4348	15.9047	14.2695	14.5718	13.1857	15.1209	16.6519	14.7066	16.0089	14.9631	13.0362	15.2865	15.624	16.4169	14.4334	15.9028	14.0313	15.1717	13.9889	15.4909	15.42	15.0249	16.2142	15.0508	15.3883	15.337	14.6287	15.8984	14.2334	15.2144	13.9165	14.7337	15.1955	16.169	12.5535
hsa-let-7c-3p	0.9314	0.8255	1.4037	1.1062	1.2332	0	1.9974	0.762	0.3597	0	1.672	0	1.0263	0.7463	2.9173	0.6243	1.9391	0.4662	0.2206	1.0453	1.0542	0.4845	0.9325	0	0	2.5913	0.5219	2.2236	0.6876	1.9609	0	0.8663	0	0	0	1.0902	1.7149	0	0.1969	1.1537	0	2.5085	1.7985	0.8801	0.9693	0	1.535	1.9932	2.1989	0.3332	1.0789	0.4136	0	0.8789	1.1286	1.5758	2.9781	0.8114	0.8037	0	0.3522	1.0793	0.5115	0.8817	1.3767	1.5923	0	2.6208	2.3759	0.3658	0.3132	0.6808	0	1.0608	0.8168	0.5321	1.6539	1.5609	0.8777	0.6119	0.8738	1.1606	2.1799	1.6089	1.0536	1.1677	0.5496	0	0	0.9334	0.5168	1.7284	0.9422	1.5885	0	0	2.2304	0.5296	1.1999	1.3989	0
hsa-let-7c-5p	12.0078	12.0211	13.3113	12.334	13.3589	12.2725	11.9569	12.8407	13.856	10.228	13.8379	12.4385	12.9161	13.1181	12.2362	13.8479	15.2082	12.3587	12.6912	12.9622	11.6702	14.1601	13.9041	6.9742	12.3856	14.8561	12.5606	14.0414	12.6725	13.9034	14.0855	13.0096	11.5411	12.5937	11.7623	13.127	13.225	12.1179	8.1657	12.1907	12.1145	15.0391	13.8379	12.7455	13.2247	11.5918	13.5717	13.8776	14.0184	13.0975	13.511	11.4393	11.1976	12.6286	14.3929	13.065	12.6807	9.531	11.747	10.7255	12.9477	10.135	11.4992	14.4419	12.4189	14.2182	11.622	15.5415	12.5645	12.4575	11.124	13.5353	13.9473	13.2633	13.1056	12.2582	12.9742	14.0116	12.8434	11.1843	10.5437	13.6458	14.3001	12.558	12.7128	13.6671	13.2288	13.298	10.8276	13.2742	13.2645	13.3259	13.1194	13.2823	10.1184	8.8718	13.0338	11.4972	13.0359	13.4286	10.2835
hsa-let-7d-3p	9.9063	9.8722	10.2113	10.9744	10.4947	10.8741	9.8887	11.0667	9.3964	6.4832	10.0024	10.0072	10.9514	9.5294	8.8672	11.1375	10.7086	9.4563	9.7702	11.2397	9.7514	9.92	10.2142	10.5837	9.9702	10.2086	10.008	10.4398	10.6705	11.3588	9.6836	9.9249	7.2236	9.3234	11.223	10.6651	9.7612	10.4934	7.647	9.9361	10.4506	11.0672	11.6846	9.4286	10.9674	9.4409	10.5304	10.8528	9.4294	10.7553	10.0878	9.8645	9.9127	9.1208	10.1452	9.5629	8.215	7.3935	9.0082	9.5624	9.4938	7.7147	8.6949	9.716	9.2474	10.9968	9.0278	11.3636	9.1786	10.4389	8.1307	11.3252	10.9891	10.4908	10.4125	10.4454	9.9771	10.2176	9.3146	9.9619	9.918	10.1754	10.1596	9.015	10.6414	11.0867	10.2949	10.2448	9.3348	10.6008	9.3167	10.3981	10.3945	9.7291	9.107	7.8276	10.149	8.7911	10.4642	11.1348	8.1862
hsa-let-7d-5p	11.6208	12.4886	12.0964	11.7457	11.0945	12.7804	12.8435	12.6333	11.4164	9.8013	11.587	11.4645	12.8448	11.6646	11.6762	11.7879	11.5223	11.0514	11.227	11.9461	12.3969	11.8861	11.7784	12.9617	12.2173	11.2258	12.2041	11.9362	11.7842	12.1765	12.1013	12.4774	9.9215	11.3864	12.7745	12.5654	11.5343	12.1032	10.1528	12.0467	11.8968	11.9641	12.4015	11.2914	12.2538	11.8062	11.9341	11.5116	11.7	12.026	11.7206	12.4024	11.6043	11.8355	11.3077	11.3997	10.7979	10.0568	11.6866	11.4439	11.2249	10.3428	11.0804	11.7255	11.3659	12.762	11.4955	12.0738	11.4024	11.5949	11.1748	12.3158	11.7424	11.95	12.1565	12.4758	11.3362	11.9201	11.1471	11.9979	12.4772	11.7264	11.6101	11.2489	12.4919	11.7774	11.9517	11.5645	11.9751	11.967	11.7505	11.9891	12.1345	11.2071	11.8473	10.2279	11.7893	10.4543	11.8217	11.9319	11.2177
hsa-let-7e-3p	3.1961	3.187	4.0664	5.3697	4.3156	4.1589	2.9511	4.2549	4.051	2.3608	3.6699	4.2958	5.0505	3.7463	2.8564	4.8922	4.0928	3.4486	4.018	4.3825	4.1	4.5938	4.0397	5.2511	4.3595	4.9616	3.1799	4.0185	4.0416	5.129	3.5071	3.8034	2.4326	3.2401	4.652	3.1543	4.332	4.64	3.245	3.9725	4.1562	4.7121	5.0965	4.3054	4.5552	2.4724	4.4373	5.0269	5.3581	4.8736	3.8052	3.695	4.3295	4.179	2.6185	3.4205	4.0562	2.9624	4.0419	3.1029	3.1728	2.4951	3.5142	4.4451	3.8453	3.7471	3.4099	5.1344	4.18	3.6815	3.5141	3.4921	3.5979	4.0659	3.6348	4.6229	6.5796	4.3749	4.051	2.7108	2.7712	4.2256	5.3162	3.5652	3.7979	5.5835	3.2244	4.1394	3.8242	4.3132	3.0571	4.8654	4.6414	4.1093	4.1109	3.2246	4.2269	2.8499	4.4216	4.66	3.5285
