variable,coef,HR,p,std_beta,range_beta,rank_std
PD cellularity,1.1105,3.036,0.0052,0.4484,1.1105,1
HPV/P16 (+),-0.6582,0.518,0.0922,0.3142,0.6582,2
LN deposit (mm),0.035,1.036,0.1029,0.3042,1.4684,3
Tumor size (cm),0.1564,1.169,0.1501,0.2711,1.9233,4
Bone invasion,0.5429,1.721,0.1681,0.2605,0.5429,5
DOI (mm),0.0274,1.028,0.1898,0.2514,1.3446,6
Male,0.5141,1.672,0.1557,0.2509,0.5141,7
ENE,0.4849,1.624,0.3076,0.1902,0.4849,8
Bilateral/contralat.,0.7365,2.089,0.2963,0.1534,0.7365,9
Differentiation,0.1896,1.209,0.4637,0.1327,0.3793,10
LN count,-0.0268,0.974,0.4357,0.1203,1.0984,11
CCRT,0.1861,1.205,0.6445,0.0928,0.1861,12
WPOI5,-0.1436,0.866,0.7304,0.0563,0.1436,13
Age,0.005,1.005,0.7494,0.0554,0.2636,14
Depth of bone inv. (mm),0.0047,1.005,0.869,0.0295,0.15,15
LVI,0.0694,1.072,0.8727,0.0244,0.0694,16
PNI,0.0211,1.021,0.9621,0.0076,0.0211,17
