variable,coef,HR,p,std_beta,range_beta,rank_std
PD_01vs2,1.0321,2.807,0.0046,0.4167,1.0321,1
LN deposit (mm),0.0445,1.045,0.0274,0.3871,1.8682,2
DOI (mm),0.0286,1.029,0.156,0.2621,1.402,3
HPV/P16 (+),-0.5072,0.602,0.102,0.2422,0.5072,4
WPOI5,-0.4665,0.627,0.2168,0.183,0.4665,5
LN count,-0.0367,0.964,0.3064,0.1646,1.5032,6
Male,-0.2926,0.746,0.3093,0.1428,0.2926,7
CCRT,-0.239,0.787,0.4662,0.1192,0.239,8
Depth of bone inv. (mm),0.0182,1.018,0.4989,0.1143,0.5813,9
Differentiation,-0.1395,0.87,0.5338,0.0976,0.2789,10
Bilateral/contralat.,0.4488,1.566,0.5027,0.0935,0.4488,11
Bone invasion,0.1577,1.171,0.6533,0.0757,0.1577,12
PNI,0.1782,1.195,0.6528,0.0639,0.1782,13
Age,0.0049,1.005,0.7061,0.0544,0.2592,14
Tumor size (cm),-0.0303,0.97,0.7574,0.0525,0.3724,15
ENE,0.0341,1.035,0.9357,0.0134,0.0341,16
LVI,-0.0169,0.983,0.9667,0.0059,0.0169,17
