variable,coef,HR,p,std_beta,range_beta,rank_std
PD_01vs2,1.0776,2.938,0.0027,0.4351,1.0776,1
DOI (mm),0.0308,1.031,0.1149,0.2824,1.5107,2
Tumor size (cm),0.1347,1.144,0.1691,0.2336,1.6574,3
Bilateral/contralat.,1.0584,2.882,0.0974,0.2205,1.0584,4
Male,0.422,1.525,0.1689,0.2059,0.422,5
LN deposit (mm),0.023,1.023,0.2493,0.2003,0.9665,6
ENE,0.4789,1.614,0.2707,0.1878,0.4789,7
Bone invasion,0.3902,1.477,0.276,0.1872,0.3902,8
HPV/P16 (+),-0.3575,0.699,0.2623,0.1707,0.3575,9
Age,0.0128,1.013,0.3347,0.1422,0.6773,10
WPOI5,-0.2349,0.791,0.5232,0.0921,0.2349,11
LVI,0.2334,1.263,0.5413,0.082,0.2334,12
CCRT,-0.1624,0.85,0.6384,0.081,0.1624,13
Differentiation,-0.0732,0.929,0.7455,0.0512,0.1463,14
Depth of bone inv. (mm),0.0068,1.007,0.7893,0.0426,0.2164,15
LN count,-0.0083,0.992,0.7808,0.0371,0.3389,16
PNI,0.0706,1.073,0.8618,0.0253,0.0706,17
