variable,coef,HR,p,std_beta,range_beta,rank_std
PD cellularity,1.1692,3.219,0.0004,0.4721,1.1692,1
LN deposit (mm),0.0426,1.043,0.0226,0.3704,1.7879,2
DOI (mm),0.0281,1.028,0.1261,0.2572,1.3759,3
HPV/P16 (+),-0.3929,0.675,0.1571,0.1876,0.3929,4
Depth of bone inv. (mm),0.0266,1.027,0.2622,0.1675,0.8514,5
Bilateral/contralat.,0.7833,2.189,0.1624,0.1632,0.7833,6
CCRT,-0.3262,0.722,0.2766,0.1627,0.3262,7
Tumor size (cm),0.0863,1.09,0.3436,0.1496,1.0613,8
LN count,-0.031,0.969,0.2567,0.1392,1.2711,9
WPOI5,-0.2609,0.77,0.4246,0.1023,0.2609,10
Differentiation,-0.1291,0.879,0.52,0.0904,0.2582,11
LVI,0.2423,1.274,0.4835,0.0851,0.2423,12
Male,-0.1642,0.849,0.5253,0.0801,0.1642,13
Age,0.0054,1.005,0.6374,0.0606,0.2886,14
PNI,0.0986,1.104,0.7876,0.0354,0.0986,15
Bone invasion,0.0242,1.024,0.9406,0.0116,0.0242,16
ENE,-0.0184,0.982,0.9628,0.0072,0.0184,17
