model,y,time_months,n_events,AUC_mean,AUC_sd
Logistic,PFS,12,44,0.5984,0.1213
Lasso,PFS,12,44,0.5907,0.1153
DecisionTree,PFS,12,44,0.603,0.1071
TabICL,PFS,12,44,0.5624,0.0425
Logistic,PFS,24,51,0.6092,0.1128
Lasso,PFS,24,51,0.6141,0.1107
DecisionTree,PFS,24,51,0.6029,0.1253
TabICL,PFS,24,51,0.5722,0.0362
Logistic,PFS,36,58,0.5457,0.0906
Lasso,PFS,36,58,0.5505,0.1065
DecisionTree,PFS,36,58,0.5399,0.1081
TabICL,PFS,36,58,0.5751,0.0254
Logistic,PFS,60,59,0.5764,0.1141
Lasso,PFS,60,59,0.5834,0.1094
DecisionTree,PFS,60,59,0.5187,0.099
TabICL,PFS,60,59,0.5707,0.0249
Logistic,DSS,12,16,0.7396,0.1436
Lasso,DSS,12,16,0.7274,0.1394
DecisionTree,DSS,12,16,0.6361,0.1504
TabICL,DSS,12,16,0.6175,0.0312
Logistic,DSS,24,25,0.7285,0.1213
Lasso,DSS,24,25,0.7523,0.1145
DecisionTree,DSS,24,25,0.6704,0.1271
TabICL,DSS,24,25,0.623,0.0267
Logistic,DSS,36,27,0.7572,0.1083
Lasso,DSS,36,27,0.7549,0.1128
DecisionTree,DSS,36,27,0.6568,0.1279
TabICL,DSS,36,27,0.6177,0.0263
Logistic,DSS,60,28,0.671,0.1274
Lasso,DSS,60,28,0.693,0.1128
DecisionTree,DSS,60,28,0.7012,0.1127
TabICL,DSS,60,28,0.6125,0.0254
Logistic,LRRFS,12,35,0.5145,0.1248
Lasso,LRRFS,12,35,0.515,0.1212
DecisionTree,LRRFS,12,35,0.5289,0.1107
TabICL,LRRFS,12,35,0.4816,0.0135
Logistic,LRRFS,24,39,0.5091,0.1149
Lasso,LRRFS,24,39,0.5282,0.1106
DecisionTree,LRRFS,24,39,0.5572,0.1146
TabICL,LRRFS,24,39,0.4954,0.0145
Logistic,LRRFS,36,42,0.556,0.1159
Lasso,LRRFS,36,42,0.5432,0.1185
DecisionTree,LRRFS,36,42,0.5386,0.1058
TabICL,LRRFS,36,42,0.4915,0.0144
Logistic,LRRFS,60,43,0.5486,0.1125
Lasso,LRRFS,60,43,0.5485,0.1124
DecisionTree,LRRFS,60,43,0.4947,0.0974
TabICL,LRRFS,60,43,0.4903,0.0144
