outcome,type,var,HR,lo,hi,p,n,docx_HR,docx_lo,docx_hi,direction_match,sig_match
PFS,univariate,tumor_size,1.311951904977141,1.1356115967642955,1.515674730583436,0.0002271430003256089,133,1.296,1.123,1.495,True,True
PFS,univariate,DOI,1.0564204003251916,1.0310680946495763,1.0823960784108397,9.484595201250968e-06,133,1.054,1.029,1.08,True,True
PFS,univariate,LN_count,1.0628814034861847,1.030228656429833,1.0965690682607259,0.0001278269309388385,129,1.061,1.028,1.095,True,True
PFS,univariate,LN_deposit,1.0464468036526728,1.009741651344167,1.0844862261719768,0.012698548701270978,58,1.047,1.011,1.084,True,True
PFS,univariate,ENE,1.413331204211189,0.7263204206385346,2.7501706354902846,0.30842661229357204,58,2.332,1.328,4.094,True,False
PFS,univariate,PD_HC,4.067672547013058,2.4037782421750435,6.8833138013397575,1.7155114242420277e-07,133,3.867,2.284,6.546,True,True
PFS,univariate,PNI,2.165627564513553,1.168181219301168,4.014739041076632,0.014145351511518321,133,2.112,1.139,3.915,True,True
PFS,univariate,LVI,2.3966713035280702,1.3313782277033568,4.314351262198019,0.0035658701480290726,133,2.361,1.311,4.25,True,True
PFS,univariate,WPOI5,1.3582055484038962,0.7343808606902531,2.5119422502123117,0.3291154969978024,133,,,,False,True
PFS,univariate,budding,1.397882578708918,0.8405320335691969,2.3248081284424056,0.19683836026075802,133,,,,False,True
PFS,multivariate,tumor_size,1.5770602084086043,1.2925934840292261,1.9241307740412186,7.160754310332098e-06,58,1.43,1.063,1.924,True,True
PFS,multivariate,LN_deposit,1.0415902769323864,1.0048239374817192,1.0797018905810285,0.026254353672640066,58,1.083,1.024,1.145,True,True
PFS,multivariate,PD_HC,2.3615713658335222,1.1602452523271858,4.806759006114083,0.01779476648394348,58,2.602,1.186,5.711,True,True
DSS,univariate,tumor_size,1.5941971879273331,1.3543851982569557,1.8764710935014568,2.0585696119034806e-08,133,1.577,1.342,1.854,True,True
DSS,univariate,DOI,1.0812325195857038,1.0506699454666588,1.11268411783722,9.367745039895259e-08,133,1.081,1.05,1.112,True,True
DSS,univariate,LN_count,1.0967285072966875,1.0512269320171348,1.1441995843934623,1.948298553950719e-05,129,1.096,1.051,1.144,True,True
DSS,univariate,LN_deposit,1.0516348668838897,1.0058581883815954,1.0994948453174342,0.026609302795501447,58,1.052,1.008,1.099,True,True
DSS,univariate,ENE,1.6699960143558308,0.6895126634694083,4.044721490583754,0.2558547316323651,58,3.633,1.681,7.853,True,False
DSS,univariate,PD_HC,8.241580822194582,3.8659354298550985,17.569785031642752,4.733665864717146e-08,133,8.114,3.804,17.309,True,True
DSS,univariate,PNI,3.0922248424761416,1.3591001413856372,7.03543041845176,0.007113427168686871,133,3.067,1.347,6.98,True,True
DSS,univariate,LVI,3.4872578081090255,1.5741640781459076,7.7253490846652255,0.0020838847479402053,133,3.481,1.571,7.711,True,True
DSS,univariate,WPOI5,2.4280794637090573,1.0975747452517217,5.371451837417735,0.028539730440589658,133,,,,False,False
DSS,univariate,budding,2.1193025635422016,1.0072304351078216,4.45920138955665,0.04782208431793235,133,,,,False,False
DSS,multivariate,tumor_size,1.6159912449488905,1.2825704287380668,2.036089126365461,4.685900735697988e-05,58,1.992,1.348,2.944,True,True
DSS,multivariate,LN_deposit,1.062613821448357,1.01357643653174,1.1140236619912005,0.01175632020109107,58,1.094,1.007,1.189,True,True
