label,seed,model,n,C_app,C_lo,C_hi,C_optimism_corr,CV_mean,CV_sd,NRI,IDI,CV_B_mean,CV_B_sd,CV_C_mean,CV_C_sd,CV_d_mean,CV_d_lo,CV_d_hi,NRI_C_vs_A,IDI_C_vs_A,NRI_B_vs_A,IDI_B_vs_A,NRI_diff,IDI_diff,HR,HR_lo,HR_hi,HR_p
PFS,42,A_clinical,129,0.733689431514689,0.6557802365509348,0.7231972529568866,0.641489382905113,0.6134501335125689,0.0888157985537801,,,,,,,,,,,,,,,,,,,
PFS,42,B_ajcc8th,129,0.7386493704692866,0.6629149179702404,0.7278901182754673,0.6461881153014282,0.6237935696831028,0.0867850547765553,,,,,,,,,,,,,,,,,,,
PFS,42,C_modified,129,0.7722243418542541,0.7056848531095002,0.764975200305227,0.6971807684640918,0.6809799224154925,0.0845115500328931,,,,,,,,,,,,,,,,,,,
PFS,42,B_vs_A,129,,,,,,,0.4331797235023041,0.0201127277842821,,,,,,,,,,,,,,,,,
PFS,42,C_vs_A,129,,,,,,,1.0263331138907177,0.1118982539267042,,,,,,,,,,,,,,,,,
PFS,42,C_vs_B,129,,,,,,,0.9532587228439764,0.091785526142422,,,,,,,,,,,,,,,,,
PFS,42,S2_C_vs_B,129,,,,,,,0.9532587228439764,0.091785526142422,0.6237935696831028,0.0867850547765553,0.6809799224154925,0.0845115500328931,0.0571863527323897,-0.0177681992337163,0.129374481499917,,,,,,,,,,
PFS,42,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.0263331138907177,0.1118982539267042,0.4331797235023041,0.0201127277842821,0.5931533903884134,0.091785526142422,,,,
PFS,42,HR_age,129,,,,,,,,,,,,,,,,,,,,,,1.0118261254338687,0.9877387918695866,1.0365008608932802,0.3388798201697861
PFS,42,HR_TIL,129,,,,,,,,,,,,,,,,,,,,,,0.9793438585757834,0.888757756216616,1.0791628951999157,0.6733953909686572
PFS,42,HR_differentiation,129,,,,,,,,,,,,,,,,,,,,,,1.2349590566563462,0.8502294643667381,1.7937791332054862,0.2678332186221628
