y,var,n_q,event_rates,spearman_rho,spearman_p,peak_quintile,classification
PFS,age,5,"[0.536, 0.346, 0.423, 0.444, 0.538]",0.4,0.5046,4,비단조(무패턴)
PFS,TIL,5,"[0.667, 0.39, 0.533, 0.406, 0.333]",-0.7,0.1881,0,비단조(무패턴)
PFS,differentiation,2,"[0.422, 0.706]",1.0,,1,비단조(무패턴)
PFS,T stage,4,"[0.348, 0.467, 0.565, 0.833]",1.0,0.0,3,단조
PFS,ajcc8th_STAGE,4,"[0.348, 0.235, 0.529, 0.737]",0.8,0.2,3,비단조(무패턴)
PFS,mTstage,3,"[0.279, 0.467, 0.852]",1.0,0.0,2,단조
PFS,mNstage,2,"[0.358, 0.711]",1.0,,1,비단조(무패턴)
PFS,mStage,3,"[0.289, 0.474, 0.789]",1.0,0.0,2,단조
PFS,tumor size (cm),5,"[0.31, 0.444, 0.429, 0.565, 0.577]",0.9,0.0374,4,단조
PFS,DOI (mm),5,"[0.333, 0.355, 0.462, 0.364, 0.778]",0.9,0.0374,4,단조
PFS,depth of bone invasion (mm)_val,5,"[0.5, 0.5, 0.4, 0.625, 0.778]",0.667,0.2189,4,비단조(무패턴)
PFS,LN meta count_val,3,"[0.364, 0.4, 0.875]",1.0,0.0,2,단조
PFS,largest node (mm)_val,5,"[0.538, 0.562, 0.75, 0.583, 0.692]",0.7,0.1881,2,비단조(무패턴)
PFS,LN tumor size (mm)_val,5,"[0.462, 0.583, 0.462, 0.727, 0.846]",0.821,0.0886,4,비단조(무패턴)
PFS,N stage_val,3,"[0.358, 0.667, 0.765]",1.0,0.0,2,단조
DSS,age,5,"[0.25, 0.154, 0.231, 0.222, 0.192]",-0.4,0.5046,0,비단조(무패턴)
DSS,TIL,5,"[0.37, 0.195, 0.267, 0.125, 0.111]",-0.9,0.0374,0,단조
DSS,differentiation,2,"[0.164, 0.529]",1.0,,1,비단조(무패턴)
DSS,T stage,4,"[0.076, 0.333, 0.348, 0.333]",0.632,0.3675,2,비단조(무패턴)
DSS,ajcc8th_STAGE,4,"[0.065, 0.059, 0.294, 0.474]",0.8,0.2,3,비단조(무패턴)
DSS,mTstage,3,"[0.016, 0.244, 0.593]",1.0,0.0,2,단조
DSS,mNstage,2,"[0.116, 0.447]",1.0,,1,비단조(무패턴)
DSS,mStage,3,"[0.066, 0.211, 0.5]",1.0,0.0,2,단조
DSS,tumor size (cm),5,"[0.034, 0.074, 0.143, 0.435, 0.423]",0.9,0.0374,3,단조
DSS,DOI (mm),5,"[0.0, 0.129, 0.154, 0.273, 0.519]",1.0,0.0,4,단조
DSS,depth of bone invasion (mm)_val,5,"[0.3, 0.5, 0.3, 0.375, 0.333]",0.205,0.7406,1,비단조(무패턴)
DSS,LN meta count_val,3,"[0.111, 0.2, 0.625]",1.0,0.0,2,단조
DSS,largest node (mm)_val,5,"[0.231, 0.25, 0.625, 0.25, 0.462]",0.616,0.269,2,비단조(무패턴)
DSS,LN tumor size (mm)_val,5,"[0.231, 0.25, 0.231, 0.455, 0.538]",0.821,0.0886,4,비단조(무패턴)
DSS,N stage_val,3,"[0.105, 0.429, 0.529]",1.0,0.0,2,단조
OS,age,5,"[0.357, 0.269, 0.346, 0.333, 0.346]",-0.205,0.7406,0,비단조(무패턴)
OS,TIL,5,"[0.519, 0.317, 0.4, 0.25, 0.167]",-0.9,0.0374,0,단조
OS,differentiation,2,"[0.293, 0.588]",1.0,,1,비단조(무패턴)
OS,T stage,4,"[0.167, 0.467, 0.457, 0.833]",0.8,0.2,3,비단조(무패턴)
OS,ajcc8th_STAGE,4,"[0.152, 0.176, 0.412, 0.684]",1.0,0.0,3,단조
