score_col,y,quartile,n,RMST,RMST_lo,RMST_hi
mStage,PFS,0,72,29.56555220672841,26.55716178902975,32.33459489436629
mStage,PFS,1,57,15.416080839959982,12.297828516773535,18.27090705575491
ajcc8th_STAGE,PFS,0,46,28.253344481605346,23.98382818035427,30.729363311221228
ajcc8th_STAGE,PFS,1,68,23.672478365980215,18.34624462940808,26.793933533820688
ajcc8th_STAGE,PFS,2,19,13.15789473684211,6.891447368421054,17.89830827067669
mTstage,PFS,0,61,30.207517910839382,26.983215635314497,32.7386829250435
mTstage,PFS,1,45,21.371778239915493,16.089876098736987,24.8877411905833
mTstage,PFS,2,27,9.11111111111111,5.1930555555555555,13.07685185185185
T stage,PFS,0,66,27.586920495718054,22.265208923984247,30.75088828829699
T stage,PFS,1,15,20.157142857142862,12.279166666666667,24.962083333333325
T stage,PFS,2,46,20.48080199764982,14.241117245393143,23.982846047519583
T stage,PFS,3,6,10.5,2.8333333333333335,18.67291666666665
mNstage,PFS,0,98,27.490329032123505,24.303656714558983,30.204780389817362
mNstage,PFS,1,31,12.629032258064514,7.419354838709677,15.799596774193548
N stage_val,PFS,0,112,25.762085771133336,23.41956701255372,27.946926535636585
N stage_val,PFS,1,17,12.235294117647058,6.861029411764705,17.09117647058823
mStage,DSS,0,72,34.84305686090226,33.597247651365,35.96598076923077
mStage,DSS,1,57,24.057037014267586,19.745105746599176,26.098508959159854
ajcc8th_STAGE,DSS,0,46,34.90199882422105,31.72444445781908,36.0
ajcc8th_STAGE,DSS,1,68,30.019615623046786,25.40413017347276,32.58471413980581
ajcc8th_STAGE,DSS,2,19,19.28127136021873,10.30276315789474,24.24895748987854
mTstage,DSS,0,61,35.971428571428575,35.83692307692308,36.0
mTstage,DSS,1,45,27.293248038857453,23.338041390516004,29.477739553828762
mTstage,DSS,2,27,15.14658678286129,11.114364947466798,18.98187449124949
T stage,DSS,0,66,34.737931358622994,32.92861754201141,35.503281807041006
T stage,DSS,1,15,23.191666666666666,15.132604166666667,28.679285714285705
T stage,DSS,2,46,26.51648503670242,20.25961529093323,29.471000739098294
T stage,DSS,3,6,20.75,6.0,31.0
mNstage,DSS,0,98,33.327218949023575,31.219946095603422,34.577269581937486
mNstage,DSS,1,31,21.23108960223454,13.659016389489118,26.076290396397724
N stage_val,DSS,0,112,32.01962265139883,30.11865971608777,33.56799254120546
N stage_val,DSS,1,17,18.70751633986928,10.161029411764705,23.01433823529411
mStage,LRRFS,0,72,30.438034675955777,27.37571152256152,32.784753994190254
mStage,LRRFS,1,57,18.44737977349998,15.133646522280264,21.016118243421012
ajcc8th_STAGE,LRRFS,0,46,29.235663924794355,24.101311141304347,31.942943790177644
ajcc8th_STAGE,LRRFS,1,68,25.983870302056022,20.517392801797094,29.29622362952333
ajcc8th_STAGE,LRRFS,2,19,17.650052866541362,9.146240601503763,23.333478618421058
mTstage,LRRFS,0,61,31.021891401241415,27.4532114218365,33.264259225049706
mTstage,LRRFS,1,45,23.18269841269841,18.02182624716554,26.158667341430508
mTstage,LRRFS,2,27,12.601774042950513,6.663407118055556,16.54989390432098
T stage,LRRFS,0,66,28.697761477652787,23.2298216751169,31.433345391448132
T stage,LRRFS,1,15,23.94166666666667,14.97486111111111,29.099999999999994
T stage,LRRFS,2,46,22.857009495853895,16.03472557409378,26.91552020836158
T stage,LRRFS,3,6,21.5,3.3729166666666672,31.0
mNstage,LRRFS,0,98,29.09750155007952,25.386885596167886,31.293811120739107
mNstage,LRRFS,1,31,15.27316384036721,8.970586065038528,19.128815456343045
N stage_val,LRRFS,0,112,27.568530951251635,24.86874525984925,29.99429517433168
N stage_val,LRRFS,1,17,15.8355614973262,8.73890931372549,20.69798642533936
