score_col,y,Q_high,Q_low,n_high,n_low,RMST_diff,RMST_diff_lo,RMST_diff_hi,RMST_diff_p
mStage,PFS,1,0,57,72,-12.409482626612778,-16.63470962687915,-7.635479109039524,0.0
ajcc8th_STAGE,PFS,2,0,19,46,-13.207850730505202,-19.926768290744977,-6.1668059414841485,0.0
mTstage,PFS,2,0,27,61,-18.48522343968984,-23.3334325935286,-13.201490859019845,0.0
T stage,PFS,3,0,6,66,-13.812263257575756,-24.508526556317275,-1.1538157215846219,0.036
mNstage,PFS,1,0,31,98,-13.494647231631856,-18.162003961462982,-8.401418519218359,0.0
N stage_val,PFS,1,0,17,112,-12.01693567070186,-18.199958092191103,-5.090555712990795,0.002
mStage,DSS,1,0,57,72,-9.465982542703507,-13.027310867719894,-5.927528878479609,0.0
ajcc8th_STAGE,DSS,2,0,19,46,-12.723505734032042,-19.08099681020733,-5.798407557354921,0.0
mTstage,DSS,2,0,27,61,-15.720344434069922,-21.11249045072574,-10.704725255000987,0.0
T stage,DSS,3,0,6,66,-10.565114030934346,-24.072064393939392,1.5155160091480846,0.16
mNstage,DSS,1,0,31,98,-10.77205850575356,-15.97582152525523,-5.5233391930325215,0.0
N stage_val,DSS,1,0,17,112,-10.006272973428416,-16.735694650325378,-2.9297332133425553,0.002
mStage,OS,1,0,57,72,-10.222098639959693,-13.6310857344121,-6.313378480065502,0.0
ajcc8th_STAGE,OS,2,0,19,46,-14.976562456384336,-20.973013833992095,-9.046384957191695,0.0
mTstage,OS,2,0,27,61,-16.91195034611388,-21.699843577885737,-12.360264811882585,0.0
T stage,OS,3,0,6,66,-16.91318330163792,-25.806770788849693,-6.326042127349117,0.002
mNstage,OS,1,0,31,98,-11.111852710561465,-16.219236167705215,-6.4069018457719835,0.0
N stage_val,OS,1,0,17,112,-12.20565178464394,-18.956016308585706,-5.5871705331695765,0.0
mStage,LRRFS,1,0,57,72,-9.529207694170587,-14.260879166811783,-5.036404773676655,0.0
ajcc8th_STAGE,LRRFS,2,0,19,46,-9.12268835370595,-17.145106137347945,-0.3748849495321776,0.038
mTstage,LRRFS,2,0,27,61,-13.895884677249931,-20.303209096253187,-7.829318268660935,0.0
T stage,LRRFS,3,0,6,66,-3.7081939799331067,-16.344049598775207,7.703923597054501,0.642
mNstage,LRRFS,1,0,31,98,-11.872830044389861,-17.447250006187197,-5.97699385316923,0.0
N stage_val,LRRFS,1,0,17,112,-9.619115463725514,-17.03422466043739,-1.7147500815077894,0.014
