score_col,y,Q_high,Q_low,n_high,n_low,RMST_diff,RMST_diff_lo,RMST_diff_hi,RMST_diff_p
mStage,PFS,1,0,57,76,-13.798212616023623,-17.985830466160024,-9.560904331332662,0.0
ajcc8th_STAGE,PFS,2,0,19,46,-15.095449744763236,-21.549418826178137,-7.5351666740010526,0.0
mTstage,PFS,2,0,27,61,-21.09640679972827,-25.96074542625538,-16.878486799173334,0.0
T stage,PFS,3,0,6,66,-17.086920495718054,-26.457555627642446,-6.555268787202402,0.0
mNstage,PFS,1,0,31,102,-14.677638845428627,-20.298676873420472,-9.699880414823715,0.0
N stage_val,PFS,1,0,17,116,-13.423286375250022,-19.87260456266592,-7.427781443320685,0.0
mStage,DSS,1,0,57,76,-10.532212683191055,-14.971219532056818,-6.96306601457161,0.0
ajcc8th_STAGE,DSS,2,0,19,46,-15.620727464002321,-23.037290669856457,-9.382293168371,0.0
mTstage,DSS,2,0,27,61,-20.824841788567284,-25.258816190617658,-18.04823412698413,0.0
T stage,DSS,3,0,6,66,-13.987931358622994,-28.332068801494206,-3.329315532145175,0.0
mNstage,DSS,1,0,31,102,-11.952346479683591,-20.2775879051822,-7.115000757548971,0.0
N stage_val,DSS,1,0,17,116,-13.223063216882124,-22.60208337508806,-7.010490947471461,0.0
mStage,OS,1,0,57,76,-10.807088714134174,-15.149510184721626,-7.449847383982993,0.0
ajcc8th_STAGE,OS,2,0,19,46,-16.985731557946362,-23.108826116891066,-11.706941641037133,0.0
mTstage,OS,2,0,27,61,-20.467077868521663,-24.62822938408645,-17.649238198231338,0.0
T stage,OS,3,0,6,66,-20.046173189820948,-28.490735548132022,-11.762263514170007,0.0
mNstage,OS,1,0,31,102,-11.930647288955754,-18.994811421378312,-7.297049146437263,0.0
N stage_val,OS,1,0,17,116,-14.557429394125629,-22.271538376539237,-8.78234522448646,0.0
mStage,LRRFS,1,0,57,76,-11.920160034358027,-16.158506251815012,-7.61666426520888,0.0
ajcc8th_STAGE,LRRFS,2,0,19,46,-11.585611058252994,-20.101861977225244,-2.6586423730731457,0.012
mTstage,LRRFS,2,0,27,61,-18.420117358290902,-25.455466191230304,-13.444812698168892,0.0
T stage,LRRFS,3,0,6,66,-7.1977614776527865,-25.279949098472663,3.3170290153643855,0.208
mNstage,LRRFS,1,0,31,102,-13.814147034744941,-20.87310956961409,-8.340890737902356,0.0
N stage_val,LRRFS,1,0,17,116,-11.767990976162249,-20.320768437718158,-4.923693998899662,0.004
