pair,system,y,C_index,unc_n,spearman_rho,spearman_p
mStage vs ajcc8th,modified,PFS,0.6936864633493847,61,-0.20784208763508064,0.10798360943003578
mStage vs ajcc8th,conventional,PFS,0.6339397182093811,61,-0.11304909911716116,0.38568944200589494
mTstage vs T stage,modified,PFS,0.6968075619761013,61,-0.3122021664620795,0.014305549672162382
mTstage vs T stage,conventional,PFS,0.6198501872659176,61,-0.09889336664834147,0.4482926421006066
mNstage vs N stage,modified,PFS,0.6408953094346352,61,-0.12264945648146819,0.34636307201735717
mNstage vs N stage,conventional,PFS,0.6411628321740681,61,-0.13871737129841302,0.28634742724803514
mStage vs ajcc8th,modified,DSS,0.8041466758053462,28,-0.4151543385338968,0.028030067436636222
mStage vs ajcc8th,conventional,DSS,0.7523989033584647,28,-0.4431297855853832,0.018191795081602524
mTstage vs T stage,modified,DSS,0.8293351610692254,28,-0.27781436588696645,0.15231898486987933
mTstage vs T stage,conventional,DSS,0.7241261137765593,28,-0.26139380242428,0.17907682803117425
mNstage vs N stage,modified,DSS,0.7237834132967786,28,-0.29099195875739325,0.13301699578002418
mNstage vs N stage,conventional,DSS,0.7356065798492117,28,-0.37292832741958626,0.05063657089313778
mStage vs ajcc8th,modified,OS,0.7530747398297067,44,-0.42184549735914895,0.0043431659653464395
mStage vs ajcc8th,conventional,OS,0.7220908230842006,44,-0.40023640056103243,0.007102718224086091
mTstage vs T stage,modified,OS,0.7767265846736046,44,-0.40856570339205966,0.005898027060760255
mTstage vs T stage,conventional,OS,0.7082544938505203,44,-0.3039307292054911,0.044884407261084294
mNstage vs N stage,modified,OS,0.6929990539262062,44,-0.3320452608514919,0.02766342349294557
mNstage vs N stage,conventional,OS,0.7058893093661306,44,-0.39119946942324185,0.00864503053300535
mStage vs ajcc8th,modified,LRRFS,0.6781958401495677,44,-0.05135178665505967,0.7406130695120619
mStage vs ajcc8th,conventional,LRRFS,0.5995559710212667,44,-0.020272483078009506,0.8960802536911512
mTstage vs T stage,modified,LRRFS,0.6687310119186726,44,-0.2490515191974737,0.10304548080593522
mTstage vs T stage,conventional,LRRFS,0.5870530497779856,44,-0.11088733442348989,0.47363158537242234
mNstage vs N stage,modified,LRRFS,0.6210563215704604,44,-0.0003100728238831807,0.9984061652527592
mNstage vs N stage,conventional,LRRFS,0.6159149333956532,44,-0.008533761642871507,0.95615606158437
