model,y,seed,var,importance
Logistic,PFS,42,age,0.3130608376301606
Logistic,PFS,42,성별,0.49829581482540375
Logistic,PFS,42,tumor size (cm),0.5915002118639003
Logistic,PFS,42,DOI (mm),0.5410338880950843
Logistic,PFS,42,differentiation,0.5640948293185211
Logistic,PFS,42,budding_01vs23,0.27505675715216993
Logistic,PFS,42,PNI,0.38644384765788464
Logistic,PFS,42,LVI,0.5292128228097835
Logistic,PFS,42,RM,0.28660837734263905
Logistic,PFS,42,TIL,0.5263355755147225
Logistic,PFS,42,TSR,0.5491841672172513
Logistic,PFS,42,WPOI5_2tier,0.39329656577590194
Logistic,PFS,42,HPV/P16_1,0.2707044244936502
Logistic,PFS,42,HPV/P16_2,0.4215117215393157
Logistic,PFS,42,CCRT_bin,0.17658460306184268
Logistic,PFS,42,Node_known,0.20254983608878865
Logistic,PFS,42,bone invasion_known,0.4206246503793588
Logistic,PFS,42,depth of bone invasion (mm)_known,0.49636953770426767
Logistic,PFS,42,LN meta count_known,0.20254983608878865
Logistic,PFS,42,contra_bilateral_known,0.20254983608878865
Logistic,PFS,42,largest node (mm)_known,0.1815996569934325
Logistic,PFS,42,LN tumor size (mm)_known,0.1815996569934325
Logistic,PFS,42,ENE_known,0.1815996569934325
Logistic,PFS,42,N stage_known,0.07545357481423039
Logistic,PFS,42,subsite_2,0.3079600804325412
Logistic,PFS,42,subsite_3,0.17016681192028338
Logistic,PFS,42,subsite_4,0.2706350699682603
Logistic,PFS,42,subsite_5,0.5756269758670736
Logistic,PFS,42,subsite_6,0.31721999844398774
Logistic,PFS,42,subsite_7,0.4673673344064541
Logistic,PFS,42,subsite_8,0.4101195222124795
Logistic,PFS,42,Tx_3tier_1,0.29073592174137064
Logistic,PFS,42,Tx_3tier_2,0.427980307337365
Logistic,PFS,123,age,0.33658699540207826
Logistic,PFS,123,성별,0.5300339954246918
Logistic,PFS,123,tumor size (cm),0.42320479457479115
Logistic,PFS,123,DOI (mm),0.3152464198702227
Logistic,PFS,123,differentiation,0.4757524133078618
Logistic,PFS,123,budding_01vs23,0.1568775208501025
Logistic,PFS,123,PNI,0.26239192284711377
Logistic,PFS,123,LVI,0.4730597486777035
Logistic,PFS,123,RM,0.33684366170612234
Logistic,PFS,123,TIL,0.3601276272728271
Logistic,PFS,123,TSR,0.430266026071361
Logistic,PFS,123,WPOI5_2tier,0.166243141339822
Logistic,PFS,123,HPV/P16_1,0.2543073883811293
Logistic,PFS,123,HPV/P16_2,0.5000373080368183
Logistic,PFS,123,CCRT_bin,0.13151454244920766
Logistic,PFS,123,Node_known,0.24906667486339681
Logistic,PFS,123,bone invasion_known,0.5204222443589777
Logistic,PFS,123,depth of bone invasion (mm)_known,0.31579198895734323
Logistic,PFS,123,LN meta count_known,0.24906667486339681
Logistic,PFS,123,contra_bilateral_known,0.24906667486339681
Logistic,PFS,123,largest node (mm)_known,0.3062008833722023
Logistic,PFS,123,LN tumor size (mm)_known,0.3062008833722023
Logistic,PFS,123,ENE_known,0.3062008833722023
Logistic,PFS,123,N stage_known,0.5107726914771313
Logistic,PFS,123,subsite_2,0.11892954731947888
Logistic,PFS,123,subsite_3,0.3537353712626766
Logistic,PFS,123,subsite_4,0.45010357838920323
Logistic,PFS,123,subsite_5,0.36311216349462416
Logistic,PFS,123,subsite_6,0.3546089177856464
Logistic,PFS,123,subsite_7,0.3624958221943976
Logistic,PFS,123,subsite_8,0.42492102331235804
Logistic,PFS,123,Tx_3tier_1,0.16236087341509223
Logistic,PFS,123,Tx_3tier_2,0.050324190874740715
Logistic,PFS,2026,age,0.5561321920121596
Logistic,PFS,2026,성별,0.2738835673426656
Logistic,PFS,2026,tumor size (cm),0.463040796185797
Logistic,PFS,2026,DOI (mm),0.6838985779847254
Logistic,PFS,2026,differentiation,0.22619414409765365
