model,y,AUC_mean,AUC_sd,AUC_min,AUC_max,n_folds
Logistic,PFS,0.6092,0.1128,0.3353,0.8125,20
Lasso,PFS,0.6141,0.1107,0.3118,0.775,20
DecisionTree,PFS,0.6029,0.1253,0.3743,0.9406,20
Logistic,DSS,0.7285,0.1213,0.4818,0.9333,20
Lasso,DSS,0.7523,0.1145,0.5429,0.9714,20
DecisionTree,DSS,0.6704,0.1271,0.4136,0.8333,20
Logistic,LRRFS,0.5091,0.1149,0.2937,0.8224,20
Lasso,LRRFS,0.5282,0.1106,0.3095,0.8618,20
DecisionTree,LRRFS,0.5572,0.1146,0.2829,0.746,20
TabICL,PFS,0.5722,0.0362,0.524,0.6242,4
TabICL,DSS,0.623,0.0267,0.5861,0.6615,4
TabICL,LRRFS,0.4954,0.0145,0.4778,0.5172,4
