method,y,seed,n_valid,n_unc,C_index,spearman_rho,RMSE_logtime
Lasso_naive,PFS,42,133,61,0.5868,0.1011,1.2881
Lasso_naive,PFS,123,133,61,0.5723,0.0425,1.2515
Lasso_naive,PFS,2026,133,61,0.5802,0.1168,1.2208
Lasso_naive,PFS,777,133,61,0.5586,0.0424,1.3259
Lasso_IPCW,PFS,42,133,61,0.5654,0.1469,0.995
Lasso_IPCW,PFS,123,133,61,0.4667,0.1865,1.0126
Lasso_IPCW,PFS,2026,133,61,0.4764,0.2351,0.9201
Lasso_IPCW,PFS,777,133,61,0.5065,0.391,0.8958
Ridge_naive,PFS,42,133,61,0.578,0.0857,1.4914
Ridge_naive,PFS,123,133,61,0.5684,-0.0224,1.4796
Ridge_naive,PFS,2026,133,61,0.5523,-0.0071,1.4921
Ridge_naive,PFS,777,133,61,0.5352,0.0712,1.5812
Ridge_IPCW,PFS,42,133,61,0.5477,0.1855,1.3729
Ridge_IPCW,PFS,123,133,61,0.4721,0.2067,1.2043
Ridge_IPCW,PFS,2026,133,61,0.4808,0.2023,1.4897
Ridge_IPCW,PFS,777,133,61,0.4946,0.1836,1.6228
DecisionTree_naive,PFS,42,133,61,0.6053,0.1531,1.3295
DecisionTree_naive,PFS,123,133,61,0.5469,0.1809,1.3463
DecisionTree_naive,PFS,2026,133,61,0.5498,0.2137,1.3274
DecisionTree_naive,PFS,777,133,61,0.5403,0.1419,1.4399
DecisionTree_IPCW,PFS,42,133,61,0.5892,0.1315,1.163
DecisionTree_IPCW,PFS,123,133,61,0.4742,-0.1066,1.2879
DecisionTree_IPCW,PFS,2026,133,61,0.5068,0.0797,1.2255
DecisionTree_IPCW,PFS,777,133,61,0.5187,0.054,1.2529
RandomForest_naive,PFS,42,133,61,0.5998,0.1351,1.2364
RandomForest_naive,PFS,123,133,61,0.5798,0.1181,1.1784
RandomForest_naive,PFS,2026,133,61,0.6009,0.1906,1.1442
RandomForest_naive,PFS,777,133,61,0.5486,0.1504,1.2581
RandomForest_IPCW,PFS,42,133,61,0.6005,0.1447,0.9837
RandomForest_IPCW,PFS,123,133,61,0.4956,-0.0503,1.0276
RandomForest_IPCW,PFS,2026,133,61,0.5393,0.1359,0.9589
RandomForest_IPCW,PFS,777,133,61,0.4999,0.1214,0.9949
TabICL_naive,PFS,42,133,61,0.6141,0.0651,1.4096
TabICL_naive,PFS,123,133,61,0.5679,-0.0202,1.4426
TabICL_naive,PFS,2026,133,61,0.5816,0.1104,1.4116
AFT_LogNormal,PFS,42,133,61,0.5955,0.0343,2.0976
AFT_LogNormal,PFS,123,133,61,0.5786,0.0493,2.0062
AFT_LogNormal,PFS,2026,133,61,0.573,0.0015,1.9628
AFT_LogNormal,PFS,777,133,61,0.5586,0.1168,2.1504
AFT_Weibull,PFS,42,133,61,0.6068,0.0286,2.4636
AFT_Weibull,PFS,123,133,61,0.5885,-0.009,2.2842
AFT_Weibull,PFS,2026,133,61,0.5937,0.0583,2.3391
AFT_Weibull,PFS,777,133,61,0.5597,0.088,2.5203
Lasso_std_naive,PFS,42,133,61,0.5868,0.1011,1.2881
Lasso_std_naive,PFS,123,133,61,0.5723,0.0425,1.2515
Lasso_std_naive,PFS,2026,133,61,0.5802,0.1168,1.2208
Lasso_std_naive,PFS,777,133,61,0.5586,0.0424,1.3259
Lasso_std_IPCW,PFS,42,133,61,0.5654,0.1469,0.995
Lasso_std_IPCW,PFS,123,133,61,0.4667,0.1865,1.0126
Lasso_std_IPCW,PFS,2026,133,61,0.4764,0.2351,0.9201
Lasso_std_IPCW,PFS,777,133,61,0.5065,0.391,0.8958
Lasso_power_naive,PFS,42,133,61,0.5818,0.0815,1.2943
Lasso_power_naive,PFS,123,133,61,0.5595,-0.0092,1.268
Lasso_power_naive,PFS,2026,133,61,0.5714,0.0855,1.2359
Lasso_power_naive,PFS,777,133,61,0.574,0.0352,1.3028
Lasso_power_IPCW,PFS,42,133,61,0.5588,0.1225,0.9978
Lasso_power_IPCW,PFS,123,133,61,0.4277,0.1284,1.0582
Lasso_power_IPCW,PFS,2026,133,61,0.4724,0.2248,0.9513
Lasso_power_IPCW,PFS,777,133,61,0.5026,0.2551,0.9557
Ridge_std_naive,PFS,42,133,61,0.578,0.0857,1.4914
Ridge_std_naive,PFS,123,133,61,0.5684,-0.0224,1.4796
Ridge_std_naive,PFS,2026,133,61,0.5523,-0.0071,1.4921
Ridge_std_naive,PFS,777,133,61,0.5352,0.0712,1.5812
Ridge_std_IPCW,PFS,42,133,61,0.5477,0.1855,1.3729
Ridge_std_IPCW,PFS,123,133,61,0.4721,0.2067,1.2043
Ridge_std_IPCW,PFS,2026,133,61,0.4808,0.2023,1.4897
Ridge_std_IPCW,PFS,777,133,61,0.4946,0.1836,1.6228
Ridge_power_naive,PFS,42,133,61,0.578,0.097,1.484
Ridge_power_naive,PFS,123,133,61,0.5552,0.0058,1.472
Ridge_power_naive,PFS,2026,133,61,0.5397,-0.0179,1.5106
Ridge_power_naive,PFS,777,133,61,0.5557,0.0439,1.5047
Ridge_power_IPCW,PFS,42,133,61,0.5495,0.2436,1.4289
Ridge_power_IPCW,PFS,123,133,61,0.4373,0.1453,1.32
Ridge_power_IPCW,PFS,2026,133,61,0.4778,0.1559,1.6083
Ridge_power_IPCW,PFS,777,133,61,0.4915,0.0972,1.6806
DecisionTree_std_naive,PFS,42,133,61,0.6053,0.1531,1.3295
DecisionTree_std_naive,PFS,123,133,61,0.5469,0.1809,1.3463
DecisionTree_std_naive,PFS,2026,133,61,0.5498,0.2137,1.3274
DecisionTree_std_naive,PFS,777,133,61,0.5403,0.1419,1.4399
DecisionTree_std_IPCW,PFS,42,133,61,0.5892,0.1315,1.163
DecisionTree_std_IPCW,PFS,123,133,61,0.4742,-0.1066,1.2879
DecisionTree_std_IPCW,PFS,2026,133,61,0.5068,0.0797,1.2255
DecisionTree_std_IPCW,PFS,777,133,61,0.5187,0.054,1.2529
DecisionTree_power_naive,PFS,42,133,61,0.6082,0.1534,1.3238
DecisionTree_power_naive,PFS,123,133,61,0.5408,0.1801,1.3629
DecisionTree_power_naive,PFS,2026,133,61,0.5437,0.2102,1.3407
DecisionTree_power_naive,PFS,777,133,61,0.5352,0.1419,1.4399
DecisionTree_power_IPCW,PFS,42,133,61,0.5902,0.1181,1.1461
DecisionTree_power_IPCW,PFS,123,133,61,0.4896,-0.0471,1.2637
DecisionTree_power_IPCW,PFS,2026,133,61,0.5193,0.0912,1.2194
DecisionTree_power_IPCW,PFS,777,133,61,0.5161,0.0605,1.2407
RandomForest_std_naive,PFS,42,133,61,0.5998,0.1351,1.2364
RandomForest_std_naive,PFS,123,133,61,0.5798,0.1181,1.1784
RandomForest_std_naive,PFS,2026,133,61,0.6009,0.1906,1.1442
RandomForest_std_naive,PFS,777,133,61,0.5486,0.1504,1.2581
RandomForest_std_IPCW,PFS,42,133,61,0.6005,0.1447,0.9837
RandomForest_std_IPCW,PFS,123,133,61,0.4956,-0.0503,1.0276
RandomForest_std_IPCW,PFS,2026,133,61,0.5393,0.1359,0.9589
RandomForest_std_IPCW,PFS,777,133,61,0.4999,0.1214,0.9949
RandomForest_power_naive,PFS,42,133,61,0.6017,0.137,1.2352
RandomForest_power_naive,PFS,123,133,61,0.5812,0.1193,1.1767
RandomForest_power_naive,PFS,2026,133,61,0.6005,0.1996,1.1423
RandomForest_power_naive,PFS,777,133,61,0.5454,0.162,1.2519
RandomForest_power_IPCW,PFS,42,133,61,0.6007,0.1408,0.9716
RandomForest_power_IPCW,PFS,123,133,61,0.5062,0.0012,1.0108
RandomForest_power_IPCW,PFS,2026,133,61,0.5429,0.1357,0.9551
RandomForest_power_IPCW,PFS,777,133,61,0.5013,0.1197,0.9924
TabICL_naive,PFS,777,133,61,0.5919,0.0965,1.396
TabICL_uncensored,PFS,42,133,61,0.5778,0.1893,1.6702
TabICL_uncensored,PFS,123,133,61,0.4694,0.1799,1.6457
TabICL_uncensored,PFS,2026,133,61,0.4865,0.0852,1.6452
TabICL_uncensored,PFS,777,133,61,0.5379,0.1542,1.6497
AFT_LogNormal,DSS,42,133,28,0.6666,0.1984,2.2278
AFT_LogNormal,DSS,123,133,28,0.6806,0.2047,1.999
AFT_LogNormal,DSS,2026,133,28,0.745,0.5938,1.593
AFT_LogNormal,DSS,777,133,28,0.6964,0.3254,1.9061
AFT_Weibull,DSS,42,133,28,0.6525,0.222,2.9262
AFT_Weibull,DSS,123,133,28,0.6912,0.2055,1.9948
AFT_Weibull,DSS,2026,133,28,0.7334,0.5652,1.751
AFT_Weibull,DSS,777,133,28,0.6744,0.3221,2.4526
Lasso_std_naive,DSS,42,133,28,0.6528,0.2176,1.0064
Lasso_std_naive,DSS,123,133,28,0.7042,0.143,0.9483
Lasso_std_naive,DSS,2026,133,28,0.7073,0.4582,0.8259
Lasso_std_naive,DSS,777,133,28,0.6679,0.1564,0.9834
Lasso_std_IPCW,DSS,42,133,28,0.633,0.0381,0.7079
Lasso_std_IPCW,DSS,123,133,28,0.627,-0.169,0.8308
Lasso_std_IPCW,DSS,2026,133,28,0.6863,0.0318,0.7785
Lasso_std_IPCW,DSS,777,133,28,0.566,-0.3262,0.9372
Lasso_power_naive,DSS,42,133,28,0.6474,0.2209,1.0139
Lasso_power_naive,DSS,123,133,28,0.6905,0.0941,0.9685
Lasso_power_naive,DSS,2026,133,28,0.7072,0.4752,0.8224
Lasso_power_naive,DSS,777,133,28,0.6559,0.1002,0.9988
Lasso_power_IPCW,DSS,42,133,28,0.604,-0.0129,0.7319
Lasso_power_IPCW,DSS,123,133,28,0.5975,-0.1412,0.8106
Lasso_power_IPCW,DSS,2026,133,28,0.6662,-0.1736,0.8434
Lasso_power_IPCW,DSS,777,133,28,0.579,-0.3418,0.866
Ridge_std_naive,DSS,42,133,28,0.6045,0.1435,1.3577
Ridge_std_naive,DSS,123,133,28,0.658,0.1259,1.0761
Ridge_std_naive,DSS,2026,133,28,0.6974,0.4061,0.9355
Ridge_std_naive,DSS,777,133,28,0.6792,0.2074,0.9573
Ridge_std_IPCW,DSS,42,133,28,0.5017,-0.2538,1.1742
Ridge_std_IPCW,DSS,123,133,28,0.5857,-0.3647,0.9596
Ridge_std_IPCW,DSS,2026,133,28,0.6282,-0.3254,1.0525
Ridge_std_IPCW,DSS,777,133,28,0.5929,-0.1325,1.0537
Ridge_power_naive,DSS,42,133,28,0.6073,0.098,1.3358
Ridge_power_naive,DSS,123,133,28,0.6618,0.0653,1.057
Ridge_power_naive,DSS,2026,133,28,0.6813,0.4042,0.9572
Ridge_power_naive,DSS,777,133,28,0.6816,0.1323,0.9701
Ridge_power_IPCW,DSS,42,133,28,0.5051,-0.2678,1.1599
Ridge_power_IPCW,DSS,123,133,28,0.5853,-0.4217,0.9188
Ridge_power_IPCW,DSS,2026,133,28,0.6323,-0.3175,1.0374
Ridge_power_IPCW,DSS,777,133,28,0.587,-0.1981,1.0723
DecisionTree_std_naive,DSS,42,133,28,0.5583,0.3016,1.1159
DecisionTree_std_naive,DSS,123,133,28,0.6696,0.5515,0.8862
DecisionTree_std_naive,DSS,2026,133,28,0.6056,-0.0281,1.1259
