method,y,C_index,spearman_rho,RMSE_logtime
AFT_LogNormal,DSS,0.697,0.331,1.931
AFT_LogNormal,LRRFS,0.528,-0.081,2.48
AFT_LogNormal,PFS,0.576,0.05,2.054
AFT_Weibull,DSS,0.688,0.329,2.281
AFT_Weibull,LRRFS,0.524,-0.111,2.619
AFT_Weibull,PFS,0.587,0.041,2.402
DecisionTree_IPCW,PFS,0.522,0.04,1.232
DecisionTree_naive,PFS,0.561,0.172,1.361
DecisionTree_power_IPCW,DSS,0.623,-0.043,0.797
DecisionTree_power_IPCW,LRRFS,0.534,0.155,1.072
DecisionTree_power_IPCW,PFS,0.529,0.056,1.217
DecisionTree_power_naive,DSS,0.6,0.235,1.09
DecisionTree_power_naive,LRRFS,0.5,0.029,1.489
DecisionTree_power_naive,PFS,0.557,0.171,1.367
DecisionTree_std_IPCW,DSS,0.624,-0.043,0.797
DecisionTree_std_IPCW,LRRFS,0.536,0.157,1.072
DecisionTree_std_IPCW,PFS,0.522,0.04,1.232
DecisionTree_std_naive,DSS,0.601,0.242,1.086
DecisionTree_std_naive,LRRFS,0.5,0.024,1.488
DecisionTree_std_naive,PFS,0.561,0.172,1.361
Lasso_IPCW,PFS,0.504,0.24,0.956
Lasso_naive,PFS,0.574,0.076,1.272
Lasso_power_IPCW,DSS,0.612,-0.167,0.813
Lasso_power_IPCW,LRRFS,0.517,0.103,0.934
Lasso_power_IPCW,PFS,0.49,0.183,0.991
Lasso_power_naive,DSS,0.675,0.223,0.951
Lasso_power_naive,LRRFS,0.529,-0.001,1.418
Lasso_power_naive,PFS,0.572,0.048,1.275
Lasso_std_IPCW,DSS,0.628,-0.106,0.814
Lasso_std_IPCW,LRRFS,0.514,0.082,0.954
Lasso_std_IPCW,PFS,0.504,0.24,0.956
Lasso_std_naive,DSS,0.683,0.244,0.941
Lasso_std_naive,LRRFS,0.528,0.017,1.406
Lasso_std_naive,PFS,0.574,0.076,1.272
RandomForest_IPCW,PFS,0.534,0.088,0.991
RandomForest_naive,PFS,0.582,0.149,1.204
RandomForest_power_IPCW,PFS,0.538,0.099,0.982
RandomForest_power_naive,PFS,0.582,0.154,1.202
RandomForest_std_IPCW,PFS,0.534,0.088,0.991
RandomForest_std_naive,PFS,0.582,0.149,1.204
Ridge_IPCW,PFS,0.499,0.195,1.422
Ridge_naive,PFS,0.558,0.032,1.511
Ridge_power_IPCW,DSS,0.577,-0.301,1.047
Ridge_power_IPCW,LRRFS,0.508,0.06,1.285
Ridge_power_IPCW,PFS,0.489,0.16,1.509
Ridge_power_naive,DSS,0.658,0.175,1.08
Ridge_power_naive,LRRFS,0.506,-0.012,1.65
Ridge_power_naive,PFS,0.557,0.032,1.493
Ridge_std_IPCW,DSS,0.577,-0.269,1.06
Ridge_std_IPCW,LRRFS,0.498,0.067,1.272
Ridge_std_IPCW,PFS,0.499,0.195,1.422
Ridge_std_naive,DSS,0.66,0.221,1.082
Ridge_std_naive,LRRFS,0.515,0.01,1.619
Ridge_std_naive,PFS,0.558,0.032,1.511
TabICL_naive,DSS,0.679,0.166,1.413
TabICL_naive,LRRFS,0.532,0.023,1.234
TabICL_naive,PFS,0.589,0.063,1.415
TabICL_uncensored,DSS,0.572,-0.225,1.667
TabICL_uncensored,LRRFS,0.511,0.039,1.56
TabICL_uncensored,PFS,0.518,0.152,1.653
